"","designation","KBI","NSR","PTL","PTN"
"95","PTL11011-59-1-1-1",440,602.75,467.25,NA
"96","PTL12001-56-1-2-2",245.5,591.5,468,691.5
"97","PTL12001-7-2-1-1",308.5,537.5,462.75,742
"98","PTL12001-7-2-1-2",371,565.25,514.25,704.25
"99","PTL12003-11-1-1-2",236,457.75,439.25,755.25
"100","PTL12004-22-1-2-1",530.25,436,563.5,822
"101","PTL12004-22-2-2-1",504,542.75,619.75,785.25
"102","PTL12012-39-2-2-2",529.25,581,473.5,NA
"103","PTL12012-78-2-1-2",413.5,364.5,564.5,NA
"104","PTL12012-78-2-2-1",413.5,469.5,461.75,NA
"105","PTL12012-78-2-2-2",393.25,607,540.5,NA
"106","PTL99024-4-3-3-2",609.125,514.25,509.5,629.375
"107","PTL99024-4-3-3-2-2-2",509.125,602.75,637.5,NA
"108","PTT04080-PTL-B-B-12-1",NA,460.25,499.25,409
"109","PTT04080-PTL-B-B-12-1-2-1",NA,450.25,550.25,NA
"110","RD31",NA,502.25,533.055555555556,NA
"111","RD37",NA,478.583333333333,523.416666666667,NA
"112","RD55",NA,581.791666666667,589.979166666667,NA
